date,day,week,topic,prepare,participate,practice
9/18/2019,Wed,4,Whiskers anyone?,"OI 1.6.3, SR 2.1 problems SR 2.1,2
[VIDEO:](https://turing.manhattan.edu/~wfoote01/bsnstat/VIDEO/shape-of-data-1-countingHousePrices.mp4), 
[XLSX: ](https://turing.manhattan.edu/~wfoote01/bsnstat/VIDEO/shape-of-data-1-countingHousePrices.xlsx)","=>Visualize data aggregation, Word of the day = outlier",Task 3: summarize the data
9/19/2019,Thu,4,How do we put all of  this together?,"OI 1.6.3, SR 2.1 problems SR 2.1,2
[VIDEO:](https://turing.manhattan.edu/~wfoote01/bsnstat/VIDEO/shape-of-data-1-countingHousePrices.mp4), 
[XLSX: ](https://turing.manhattan.edu/~wfoote01/bsnstat/VIDEO/shape-of-data-1-countingHousePrices.xlsx)","=>Summarise data in Excel, Word of the day = aggregate",Task 3: summarize the data
9/23/2019,Mon,5,How do we build a data summary?,"[VIDEO](https://turing.manhattan.edu/~wfoote01/bsnstat/VIDEO/shape-of-data-5-summaryHousePrices.mp4), [XLSX](https://turing.manhattan.edu/~wfoote01/bsnstat/VIDEO/shape-of-data-5-summaryHousePrices.xslx)","=>Summarise data in Excel, Word of the day = quantile",Task 4: build summary
9/25/2019,Wed,5,How do we build our dashboard?,"[VIDEO](https://turing.manhattan.edu/~wfoote01/bsnstat/VIDEO/shape-of-data-6-dashboardHousePrices.mp4), [XLSX](https://turing.manhattan.edu/~wfoote01/bsnstat/VIDEO/shape-of-data-6-dashboardHousePrices.xlsx)","=>Summarise data in Excel, Word of the day = architecture",Task 4: build summary
9/26/2019,Thu,5,How probable?,"SR 3.1, [Workbook: probability 101](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-prob101.html)","=>Construct a probablistic way of thinking about data, Word of the day = consequent",Task 4: build summary
9/30/2019,Mon,6,More probability?,"SR 3.1, [Workbook: probability 101](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-prob101.html)","=>Construct a probablistic way of thinking about data dependence, Word of the day = causality",Task 5: build dashboard
10/2/2019,Wed,6,"Yes, more!","SR 3.2, [Workbook: probability exercise](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-prob-exercise.html)","=>Apply your neww way of thinking in practical situations, Word of the day = unsystematic",Task 5: build dashboard
10/3/2019,Thu,6,Is anything random?,"SR 4.1,2, [Workbook: probability sampling](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-sampling.html)","=>Apply your new way of thinking to random data , Word of the day = systematic",Task 5: build dashboard
10/7/2019,Mon,7,"Monday, Mondays",Revise,Revise,Task 5: build dashboard
10/9/2019,Wed,7,Midterm revision,Calling all quizzes,Revise,Task 5: build dashboard
10/10/2019,Thu,7,Are you ready?,Midterm assessment,Examen,Task 5: build dashboard
10/15/2019,Tue,8,How did you do?,Midterm assessment,Re-Examine,Review tasks
10/16/2019,Wed,8,What are the ups and downs?,"SR 3.3, [Workbook: binomial distribution](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-binomial.html)",=>Construct Binomial distribution,Review tasks
10/17/2019,Thu,8,Did your hit the target?,"SR 3.3, [Workbook: binomial distribution](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-binomial.html)",=>Apply Binomial distribution,Review tasks
10/21/2019,Mon,9,Try it again…?,"SR 3.3, [Workbook: binomial distribution](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-binomial.html)",=>Apply Binomial distribution,
10/23/2019,Wed,9,Did your hit the target?,"SR 3.4, [Workbook: Poisson and exponential distributions](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-poisson.html)",=>Construct Poisson distribution,Task 6: build binomial table
10/24/2019,Thu,9,Did your hit the target?,"SR 3.4, [Workbook: Poisson and exponential distributions](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-poisson.html)",=>Apply Poisson distribution,Task 6: build binomial table
10/28/2019,Mon,10,Everything's normal?,"SR 3.5, [Workbook: the normal distribution](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-normal.html)",=>Construct Normal distribution,Task 7: Add Poisson table
10/30/2019,Wed,10,Everything's normal?,"SR 3.5, [Workbook: the normal distribution](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-normal.html)",=>Apply Normal distribution,Task 8: Simulate normal means
10/31/2019,Thu,10,Everything's normal?,"SR 3.5, [Workbook: the normal distribution](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-normal.html)",=>Apply Normal distribution,Task 8: Simulate normal means
